chunk_id,page_number,start_block_index,end_block_index,text,char_len,chunk_type
10,1,20.0,0.0,"In many cases there is no
illness. Otherwise, typical
acute hepatitis (flu-like illness
with jaundice), usually mild
and never progressing to
chronic hepatitis.
Illness
76",171,text
11,2,1.0,2.0,"Tables, Charts and Graphs
Viral hepatitis type B
(Serum hepatitis)
Viral hepatitis type A
(infections hepatitis)
Screening of blood donors and
treatment of donated blood;
safe sex and avoidance of
blood exchange by drug users.
A vaccine is available against
hepatitis B for high risk
groups.
Recommended for frequent
travellers to Africa and Asia.
Two doses of vaccine, 2-4
weeks apart. Then a booster
six to 12 months later, gives
around ten years protection.
Prevention
(From Complete Health Encyclopedia, The British Medical Association, 1996)",546,text
12,2,3.0,4.0,"As is made amply clear by the example given above, tables allow easy comparisons which
might be difficult to understand if they appeared in the form of paragraphs.
Tables can be divided into two broad types: dependent tables and independent tables. A
dependent table is an integral part of the text. It needs no title or caption because it is given
in continuation of the text. Such a table contain a small amount of information, probably a
maximum of three columns and rows, and a dozen or so numbers.",502,text
13,2,5.0,7.0,"An independent table may be placed physically within the text but is to be clearly
distinguished from it. Example 2 proves the point.
Example 2
Resurgence in Bihar",163,text
14,2,8.0,8.0,"In 1977, a sample survey conducted by the National Institute of Communicable Diseases
(NICD), estimated the number of Kala-azar cases to be 70,000 with 4,500 estimated deaths.
However, 16,589 cases and 229 deaths were detected through searches while during 1978 and
1979, 41, 953 and 25, 172 cases respectively were detected. In the later years, the figures relate
to only those which came to Health Centres/hospitals for treatment, hence the figures are low.
The number of cases and deaths recorded due to Kala-azar since 1977 are given below.",544,text
15,2,9.0,22.0,"Table 1: Number of Kala-azar Cases and Deaths in Bihar Stage
Year
No. of cases
No. of deaths
1977
16589
229
1978
41953
62
1979
25172
28
1980
13620
23
1981
14165
35
1982
11120
35
1983
11832
128
1984
12983
128
1985
12029
37
1986
14029
47
1987
17471
74
(From Kala-Azar: Re-emergence of Dreaded Diseases, VHAI)",306,text
16,2,23.0,0.0,"In an independent table, you are inviting your readers to look at the tabular information
separately while reading the text. Generally, such tables can present a large amount of
information. They require the reader to stop and reflect on the details about the facts and
their arrangement. Such a table usually has a table number and a caption. The caption
should be carefully written so that you focus the reader's attention on the significant facts
presented in the table. Of course, a written summary of the facts presented in the table
should also be given, highlighting the important facts.
77",597,text
17,3,1.0,3.0,"Writing Skills
In some cases a summary of the table is given in the text, and the full table is placed in the
appendix.
It will be useful to keep certain points in mind when you prepare tables of your own.

If you are using several independent tables, you should assign each table a table
number. (Look at example 2 again). In the text itself, each table should be referred to by
the table number rather than by a phrase such as ‘the table above….’ If your text has
more than five tables, they should be listed in a separate page after ‘Table of
Contents,’ labeled as ‘List of Tables’.",586,text
18,3,4.0,6.0,"
The title of the table can be placed either above or below the table. It should describe
in very precise language the contents of the table.

Each column should have a heading. This heading should be brief and accurate. Units
of measurement, if required, are enclosed in brackets beneath the heading. You may
use standard abbreviations, if you like.

In the left-hand vertical column of the table, we list the items about which information
is given in the table.",466,text
19,3,7.0,7.0,"
The main body of the table comprises the data below each heading in the column. It is
very essential to present the information in the body as clearly as possible. The
presentation of information is dependent to a large extent on the way lines are drawn
in independent tables. You can have a choice of an open design, a semi-closed design
or a closed design. An open design is one which has no vertical or horizontal lines in
it. A semi-closed design has some vertical and/or some horizontal lines. A closed
design has both vertical and horizontal lines separating virtually all the items.",591,text
20,3,8.0,19.0,"Example 2 has a closed design while the table in Check Your Progress 1 has a semi-
closed design.
Check Your Progress 1
On the basis of the information given in the following table, answer the questions given
below:
Recommended daily intakes of energy and nutrients for humans in the UK for both sexes
(Adapted)
Age range
Body
Energy
MJ
Protein
Calcium
Iron
Wt. Kg.
Kcal
g
mg
mg
Boys and
Girls
0 up to 1 year
7.3
800
3.3
20
600
6
2 up to 4 years
13.5
1400
5.9
35
500
7
4 up to 7 years
20.5
1800
7.5
45
500
8
Boys
9 up to 12 years
31.9
2500
10.5
63
700
13
2 up to 15 years
45.5
2800
11.7
70
700
14",596,text
21,3,20.0,0.0,"15 up to 18 years
61.0
3000
12.6
75
600
15
Girls
9 up to 12 years
33.0
2300
9.6
58
700
13
12 up to 15 years
48.6
2300
9.6
58
700
14
15 up to 18 years
56.1
2300
9.6
58
600
15
78",176,text
22,4,1.0,5.0,"Tables, Charts and Graphs
1)
What is the ideal body weight for a boy of 14 years?
........................................................................................................................................
2)
How much calorie does a child of 6 years need?
........................................................................................................................................
3)
What is the difference in the recommended calorie intake of a boy of 9 to 18 years and
girl of 9 to 18 years?",518,text
23,4,6.0,10.0,"........................................................................................................................................
........................................................................................................................................
4)
How much calcium does a boy of 12 years need?
........................................................................................................................................
5)
Does a girl of 16 years need more iron than a boy of the same age?",529,text
24,4,11.0,12.0,"........................................................................................................................................
5.4
CHARTS AND GRAPHS",158,text
25,4,13.0,14.0,"The term chart is used to refer to i) a detailed map of a sea area, and ii) information
presented in the form of a picture or a graph to make it easily understood. We shall use it
here in the latter sense. This presentation through diagrams and graphs can take various
forms, including what is known as a flow diagram or a flowchart. These charts simplify the
detailed information that is presented and help in its interpretation. Trends, movements,
and distributions can be presented in a more comprehensive manner in graphs than in
tables.
5.4.1 Line Graphs",559,text
26,4,15.0,31.0,"A graph is usually a straight or curved line which is drawn between a vertical (that is, an
upright) line and a horizontal (that is, a level line) across the page, to connect a series of
points representing the varying values of two related things. It, thus, primarily shows the
relationship between two sets of figures or two variables. The fixed lines — horizontal and
vertical — used as reference points are known as axis, each representing one set of figures
or one variable. (See Example 3)
Example 3
2000
mouse
1000
 800
Metabolic rate/mm3 O2g-1 h-1
rat
600
rabbit
400
dog
human
200
horse",594,text
27,4,24.0,0.0,"100
80
60
elephant
40
100
1 000
10 000
100 000
1 000 000
Body mass/g
Fig. 5.1: Metabolic rate of animals, calculated per gram body mass, plotted on logarithmic
coordinates
(From Biological Sciences CUP ELBS)
79",210,text
28,5,1.0,3.0,"Writing Skills
Example 4
Below shows the use of a number of lines in the same graph. In preparing such graphs each
line has to be given a label. You can emphasize the difference between two lines by shading
the space that separate them. In order to differentiate between the different lines, you can use
different colours, or a dotted line, a broken line, a semi-broken line, a thick line, a thin line, etc.
50
40
II
30
% of Students
20
I
III
10
0
20
10
30
40
60
70
80
90
100
50
Scores
(From Testing Communicative Performance by B.J. Carroli)
Example 5",552,text
29,5,4.0,5.0,"The question that arises is, how many lines is it possible to accommodate comfortably in a
graph? There can be no single correct answer. For instance, the graph in Example 5 below
has five lines in it, and yet it is not too cluttered. Why? Because the principal objective of
presenting that graph is to show that the lines all move in a parallel direction. However, you
will realize that if those lines had begun to move across one another, the load of
information would be too great for a reader to absorb.
100
90
80
70
?
60
a
50
w
40
30
h
20
t
10
Kenyan Asian
Indian
a
  w
   ?
   t
 h",587,text
30,5,6.0,0.0,"Kenyan Asian
58.91
42.73
65.35
18.36
27.14
Indian
74.10
54.31
79.62
24.36
35.80
Leeds Variants by place of origin)
(From Crisis of Identity by R.K. Agnihotri)
These line graphs are most useful for showing changes that have taken place (or are
predicted) over a period of time. When this is the purpose of the chart, the horizontal scale
usually represents a time line, and the vertical scale represents the quantity being
80",424,text
31,6,1.0,38.0,"Tables, Charts and Graphs
measured. In fact, a line chart of the type in Example 4 will provide the readers with an
immediate picture of general trends.
Check Your Progress 2
1)
What conclusions regarding growth in humans, may be drawn from the three curves
shown in the figure?
embryo
infancy/childhood
adolescence
adulthood

}
}
70
60
adolescent
growth
50
40
Mass kg.(m)

fetal growth
juvenile
growth
30
20
10


}
infant growth
0
2
8
12
14
16
20
22
4
6
10
18
Age/years
birth
conception
6
5
4
3
Change in
mass/kg(dm/dt)
2
1
0
2
4
6
8
10
12
14
16
20 22
18
Age/years
1.0",573,text
32,6,22.0,6.0,"Relative change in
mass/kg(dm/dt.1/m)
0.5
0
2
4
6
8
10
12
14
16
18
20
22
Age/years
Three types of growth curve for humans
(From Biological Sciences, Cambridge University Press, ELBS)
.....................................................................................................................................................................................
.....................................................................................................................................................................................",546,text
33,6,7.0,9.0,".....................................................................................................................................................................................
.....................................................................................................................................................................................
.....................................................................................................................................................................................",545,text
34,6,10.0,12.0,".....................................................................................................................................................................................
.....................................................................................................................................................................................
.....................................................................................................................................................................................",545,text
35,6,13.0,15.0,".....................................................................................................................................................................................
.....................................................................................................................................................................................
.....................................................................................................................................................................................",545,text
36,6,16.0,0.0,"2)
Write in about 2-3 sentences how you would interpret the figures on differential
growth rate of the tissues in the body of a mammal.
81",138,text
37,7,1.0,5.0,"Writing Skills
Differential growth rate of tissues
Growth rate/mass gain per day
fat
muscle
bone
brain
Age
........................................................................................................................................
........................................................................................................................................
........................................................................................................................................
5.4.2 Bar Charts",534,text
38,7,6.0,6.0,"Bar charges consists of a series of horizontal or vertical bars drawn parallel to each other
along a scale of measurement. Each bar can represent a different item or the same item at
different times, and the scale can be either a scale of percentage or one of absolute quantities.
Therefore, bar graphs are useful for showing comparisons between the figures for the same
item for different periods of time or for different items for the same period of time.",457,text
39,7,7.0,68.0,"It is helpful for your reader if you label the tops of the bars in your chart. Since it is the
tops of the bar that interest readers, that is naturally the first place they look at.
Smokers of
Non
smokers
Cigarettes
only
Cigarettes &
pipes, cigars
Death rates from lung cancer per
100 000 men per year
Pipes
 only
Cigars
only
134 127
98
67
U.K. figures
10 13
13
39 39
U.S.A. figures
a    The effect of smoking tobacco in different ways
Comparative death rates from coronary
heart disease (men aged 50-70)
Percentage of men aged 55-64 who
develop coughs or bronchial illnesses
206
175
220
123
160
154",599,text
40,7,25.0,23.0,"123
123
50
40
123
123
123
123
123
123
100
109
123
123
123
123
123
123
10
20
30
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
123
Stopped
smoking
more  than
10 years
Stopped
smoking
1-10 years
Non
smokers
Still
smoking
1-4
15 or more
Ex
smokers
Smokers: No. of
cigarettes a day
Non
smokers
Men with persistent cough and phlegm
Men who have also had a recent
bronchial illness
b   The effect of smoking on the
chance of developing bronchitis or
coughing with phlegm",521,text
41,7,72.0,0.0,"Smokers of less than 20 cigarettes a day
Smokers of more than 20 cigarettes a day
12
12
c    The relationship between smoking
and coronary heart disease
Effects of smoking on health (figures taken in relation to smoking: ten years, observations by R.
Doll and A.B. Hill, British Medical 1964)
82",295,text
42,8,1.0,56.0,"Tables, Charts and Graphs
Check Your Progress 3
What is the predicted rate of temperature rise because of the different greenhouse gases
between 1990s and 2020s?
0.20
‘Temperature rise in the ‘greenhouse’
123
123carbon dioxide
123
ozone
123
methane
123
0.16
nitrous oxide
chlorofluorocarbons
Temperature/0C
0.12
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
0.08
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
0.04
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234
1234",596,text
43,8,72.0,3.0,"1234
1234
1234
1234
1234
0
1234
1234
1234
1234
2000s
2010s
2020s
1990s
Contributions of different greenhouse gases to predicted rise in global temperatures between now
and the 2020s. (FromM.McElroy(1988)The challenge of global change. New Scientist.
119,1623.34-6.) (From Biological Science, Cambridge University Press)
................................................................................................................................................",464,text
44,8,4.0,7.0,"................................................................................................................................................
................................................................................................................................................
5.4.3 Flow-charts
Not all charts represent quantitative information. For example, you may wish to illustrate
the stages of a process, point out locations, give directions, or show relationships. You can
do this by using flow charts, diagrams, and maps.",542,text
45,8,8.0,8.0,"A flow-chart (or flow diagram) is a drawing in which particular shapes and connecting lines
are used to show how each particular action in a system is connected with the others.",177,text
46,8,9.0,9.0,"Flow-charts are an excellent way of illustrating the stages or the steps of a process, or the
pathways along which information of components is to travel during specific operations.
Flow-charts can show a series of steps that occur in a sequence, or they can show a
number of steps or processes that occur simultaneously. They are drawn using a set of
conventional symbols that represent various operations. The symbols are connected by
arrows to indicate the order in which the activities will occur. We give below a small
selection of symbols which will be sufficient to demonstrate their use in flow-charts.",610,text
47,8,10.0,0.0,"A terminal symbol. It is a symbol used to denote the beginning and end of a flow-chart.
Within the symbol you write START, STOP, END.
83",136,text
48,9,1.0,3.0,"Writing Skills
An input symbol. It is used to denote the input that is used to trigger off a decision or a
process.
A process symbol. It is used to define the execution of an operation or event. The meaning
of the operation or event can be given within the symbol.
A decision symbol. It is used to ask a specific question, the answer to which should be yes
or no.",363,text
49,9,4.0,6.0,"Using flow-charts is particularly useful if you wish to simplify your descriptions and
provide an easy-to-use visual reference for your readers. For example, a well designed flow-
chart will help you guide your readers through complex descriptions because they present
the entire process at once, and thus serve as a guideline to indicate where you are going
and how you are getting there. Another important use of flow-charts is that they prevent
readers from visualizing complex processes on their own, and thus making mistakes.
Central Processing Unit
Store
Control
Input device
Output device
Mill",600,text
50,9,5.0,0.0,"(Source: Computer and Commonsense, 3rd Edition, Roger Hunt and John Shelley, Imperial College of
Science and Technology, Prentice-Hall of India Private Limited 1985.)
84",169,text
51,10,1.0,1.0,"Tables, Charts and Graphs
The figure shows these five parts in an arrangement which closely resembles the basic
anatomy of today’s computers. The three parts consisting of the Store, Mill and Control
units are collectively known, in current terminology, as the Central Processing Unit (CPU).
It is this to which we really refer when talking about the computer. The other two units, the
Input and Output devices (I/O), are concerned with entering information (instructions and
data) into the CPU, and with outputting the results once processing has taken place.",560,text
52,10,2.0,0.0,"In order to understand the basis of flow-charts, it is better to begin with simple real-life
problems. For instance, you want to ring up a friend and give him/her a message. How
would you go about doing so?
Start
Ring up your friend
Is the
number
known
No
Look it up in the
telephone directory
Yes
Ring up the number!
No
Is it
engaged?
Is it
ringing?
Yes
Wait for some
time
Yes
Is the
friend
available
Stop
Leave a
message
No
Yes
Talk
Check Your Progress 4
Look at the flow chart given below and write the steps involved in the working of a modern
sewage treatment plant.
85",574,text
53,11,11.0,16.0,"A flow diagram of a modern sewage treatment works
Writing Skills
Industrial waste
waters
Pre-treatment
domestic
sewage
effluent (soluble fraction)
3
aerobic
digestion
by microbes
4
setting and
separation
2
mechanical
screening
and setting
5
filtration
and
separation
of nitrates
phosphates
(optional
stage)
solids
(spent cells)
air
(or oxygen)
solids (mainly
cellulose and
other carbohydrates
clean water
discharged
primary sludge
secondary sludge
7
separation
of digested
sludge
6
anaerobic
digestion
by microbes",513,text
54,11,18.0,3.0,"Alternatives:
trickling filter
activated sludge
oxidation ponds and
biological fluidised
bed
water
(discharged)
carbon dioxide
hydrogen
methane
solids for use
as fertilizer
................................................................................................................................................
................................................................................................................................................",462,text
55,11,4.0,7.0,"................................................................................................................................................
................................................................................................................................................
................................................................................................................................................
5.5
LET US SUM UP",452,text
56,11,8.0,0.0,"In this unit, we made you aware of the communication of the information by means of
tables, charts and graphs, so that you can interpret them in the text you read and use them
in your own writings.
86",200,text
57,12,1.0,5.0,"Tables, Charts and Graphs
5.6
KEY WORDS
Axis
:
A line on a graph to show the position of a point.
(E.g. Vertical Y axis; horizontal
X axis)
Bar Charts
:
A mathematical picture in which different
amounts are represented by thin vertical or
horizontal rectangles, which have the same width
but vary in height or length.
Charts
:
Information given in the form of graph, diagram
or pictures.
Columns and Rows
:
A column is a vertical block of words or numbers
while in a row the words or numbers are given
horizontally next to each other.",534,text
58,12,6.0,15.0,"Graphs
:
A picture, which shows how one or more sets of
information or variable amounts are related
usually by lines or curves.
Flow Charts or Flow Diagrams
:
Show the stages of a process.
Symbols
:
A sign, which is used to represent something else.
Tables
:
An arrangement of fact and numbers in rows and
columns.
5.7
ANSWERS TO CHECK YOUR PROGRESS
Check Your Progress 1
1)
45.5 kg
2)
1800
3)
While for a boy an increasing intake (i.e. from 2500 to 3000 calorie) is recommended,
for a girl there is no change in the 2300 calorie requirement from 9 to 18 years.
4)
700 mg",571,text
59,12,16.0,22.0,"5)
No. Both boys and girls are recommended a daily intake of 15 mg iron.
Check Your Progress 2
1)
The following conclusions may be drawn from the curves:
a)
In humans the absolute growth curve shows four distinct phases of increased
growth.
b)
The relative growth is greatest during embryological development.
c)
Rate of growth is greatest during infancy and adolescence.
d)
Maximum growth in terms of a particular parameter, such as height, is greatest in
the adult.",467,text
60,12,23.0,0.0,"2)
While the growth rate of the brain is maximum in the early years, fat grows faster in
the later years. The bones and muscles, however, steadily grow during childhood and
adolescence.
87",188,text
61,13,1.0,2.0,"Writing Skills
Check Your Progress 3
Carbon dioxide levels (and those of other green house gases, notably carbon monoxide,
methane and chlorofluorocarbons (CFCs) are rising at an alarming rate unprecedented in
the recent earth history and their increased presence will logically favour an increasingly
warmer surface environment.",329,text
62,13,3.0,4.0,"While in the 1990s, carbon dioxide raised the Earth's surface temperature by 0.08oC, by the
2020s, the temperature would rise up to 0.12oC. Similarly the increased presence of CFCs
has undisputed effects on the ozone layer and the surface temperature would rise to 0.20oC.
Check Your Progress 4",294,text
63,13,5.0,5.0,"The industrial waste and domestic sewage is pretreated together. The first step is the
mechanical screening of solids and its separation into solid waste and effluents. The solids
are further separated for primary and secondary sludge. The effluents or soluble fraction is
then aerated for aerobic digestion by microbes, which is once again screened for solids.
This effluent or soluble fraction is once again filtered and separated for nitrates and
phosphates so that the clear water could be discharged.",505,text
64,13,6.0,0.0,"The secondary sludge, which is procured after the first mechanical screening, is
simultaneously processed for anaerobic digestion by microbes, after which the hydrogen,
methane and carbon dioxide are separated. The water content is discharged while the
solids of the digested sludge are used as fertilizers.
Another alternative to the aerobic and anaerobic digestion by microbes is the trickling to
filter activated sludge oxidation ponds and biological fluidized bed.
88",471,text
table_0,2,,,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       0
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Viral hepatitis type B\nViral hepatitis type A\n(Serum  hepatitis)\n(infections  hepatitis)
These viruses are present in\nVirus is present in the faeces\nTransmission  of  infections\nthe blood and other body\nof infected people and\nfluids of infected people,\ntransmitted to others by faecal\nmany of whom appear to be\ncontamination of water and\nin normal health. Infection is\nfood (e.g. through infected\nspread sexually or by sharing\npeople handling food). Faeces\nhypodermic needles. In the\nare infective from two to three\npast it was spread by use of\nweeks before until eight days\ncontaminated blood and blood\nafter the onset of jaundice.\nproducts.\nLocal epidemics can occur.
                                                                                                                                                                                                                                                                                                                                                  In some parts of Africa and\nWorldwide. In some parts of\nIncidence\nAsia upto 20% of the\nthe world, where hygiene is\npopulation are carriers of one\npoor, almost everyone has\nor both viruses, often without\nbeen exposed to this type of\nsymptoms.\nhepatitis.
                                                                                                                                                                                                                                                                                             Groups at particular risks\nMale homosexuals, people\nTravellers to areas where\nwith multiple sexual partners,\nhygiene standards are poor and\nintravenous drug abusers,\nprevalence of the virus is high\nhealth care personnel or\n(i.e. parts of Asia, Africa, or\nchildren born to carrier\nSouth America).\nmothers.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               A few weeks to several\nIncubation period\nThere to six weeks after virus\nmonths after infection.\nhas entered the body.
                                                                                                                                                                                                                                                                       Typical acute hepatitis often\nIn many cases there is no\nIllness\nmore severe than with type A\nillness. Otherwise, typical\nvirus. Progression to chronic\nacute hepatitis (flu-like illness\nhepatitis and other liver\nwith jaundice), usually mild\ndisease may occur.\nand never progressing to\nSometimes, no illness.\nchronic hepatitis.",4206,table
table_1,3,,,"                                                                                                                                                                                                                                                                                                                                                                                  0
                                                                                                                                                                                                                                                                                        Viral hepatitis type B\nViral hepatitis type A\n(Serum  hepatitis)\n(infections  hepatitis)
Screening of blood donors and\nRecommended for frequent\nPrevention\ntreatment of donated blood;\ntravellers to Africa and Asia.\nsafe sex and avoidance of\nTwo doses of vaccine, 2-4\nblood exchange by drug users.\nweeks apart. Then a booster\nA vaccine is available against\nsix to 12 months later, gives\nhepatitis B for high risk\naround ten years protection.\ngroups.",1115,table
table_2,4,,,"                                                                                                                                                                                            0                                                   1                                                   2                                              3                                  4                                           5                               6
                                                                                                                                                                                    Age range                                       Body\nWt. Kg.                                        Energy\nKcal                                             MJ                         Protein\ng                                 Calcium\nmg                        Iron\nmg
Boys and\nGirls\n0 up to 1 year\n2 up to 4 years\n4 up to 7 years\nBoys\n9 up to 12 years\n2 up to 15 years\n15 up to 18 years\nGirls\n9 up to 12 years\n12 up to 15 years\n15 up to 18 years 7.3\n13.5\n20.5\n31.9\n45.5\n61.0\n33.0\n48.6\n56.1 800\n1400\n1800\n2500\n2800\n3000\n2300\n2300\n2300 3.3\n5.9\n7.5\n10.5\n11.7\n12.6\n9.6\n9.6\n9.6 20\n35\n45\n63\n70\n75\n58\n58\n58 600\n500\n500\n700\n700\n600\n700\n700\n600 6\n7\n8\n13\n14\n15\n13\n14\n15",1355,table
table_3,8,,,"           0            1            2                           3 4 5                6 7 8 9
Non\nsmokers  Smokers  of                                                                    
             Cigars\nonly Pipes\n only Cigarettes &\npipes, cigars     Cigarettes\nonly      
      13\n10           13        39 39                      98\n67             134\n127      ",375,table
table_4,8,,,"          0                                                                         1  2  3                                                                              4  5                                                                                   6  7  8  9  10
         100 160\n123\n123\n123\n109\n123\n123\n123\n123\n123\n123\n123\n123\n123\n123       123\n206\n123\n123\n154\n123\n123\n123\n123\n123\n123\n123\n123\n123\n123\n123    123\n220\n123\n123\n175\n123\n123\n123\n123\n123\n123\n123\n123\n123\n123\n123\n123            
Non\nsmokers                                    Stopped\nsmoking\nmore  than\n10 years                                                         Stopped\nsmoking\n1-10 years                                                                         Still\nsmoking            ",812,table
table_5,8,,,"           0                                 1          2           3
                                                                     
Non\nsmokers                               1-4 15 or more Ex\nsmokers
             Smokers: No. of\ncigarettes a day                       ",279,table
table_6,9,,,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                0  1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20
123\n123\n‘Temperature rise in the ‘greenhouse’\ncarbon dioxide\n123\nozone\n123\n123\nmethane\nnitrous oxide\nchlorofluorocarbons\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234\n1234                                                            ",1149,table
table_7,12,,,"0                                    1 2
  6\nanaerobic\ndigestion\nby microbes  
                                        ",122,table
pageimg_0,0,,,a table of contents for a table of contents,43,chart
pageimg_1,1,,,a table of contents for the text and the text,45,chart
pageimg_2,2,,,a table of the number and type of the elements in the periodics,63,chart
pageimg_3,3,,,a table with the number of the numbers in each column,53,chart
pageimg_4,4,,,a graph graphing graphing graphing graphing graphing graphing graphing graphing graphing graph,94,chart
pageimg_5,5,,,nci class 12 math question paper,32,chart
pageimg_6,6,,,a graph plot with a line graph,30,chart
pageimg_7,7,,,a diagram of the effect of the effect of the effect of the effect of the effect of the effect of,96,chart
pageimg_8,8,,,a diagram of the number of different types of the genome,56,chart
pageimg_9,9,,,a diagram of a block diagram,28,chart
pageimg_10,10,,,a diagram of a flow flow diagram,32,chart
pageimg_11,11,,,a flow diagram for a flow flow,30,chart
pageimg_12,12,,,a sample of a research paper,28,chart
pageimg_13,13,,,a document with the title title and title title,47,chart
